Interlocutor	Text	Acts
user	Cześć	hello()
system	Witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Czy mam jakieś zaplanowane spotkania?	request(meeting_list)
system	Najbliższe spotkanie to: Data: Piątek 02.04.2021 19:00 Miejsce: Brak Spotkanie z: Marek Opis: Spotkanie towarzyskie	inform(meeting_list)
system	Kolejne spotkanie to: Data: Środa 31.03.2021 14:00-15:00 Miejsce: Sala konferencyjna w biurze Spotkanie z: Jan Nowak - Prezes firmy ABC	inform(meeting_list)
user	Chciałbym usunać drugie spotkanie.	request(cancel_meeting)
system	Czy jesteś pewien, że chcesz odwołać poniższe spotkanie? Data: Środa 31.03.2021 14:00-15:00 Miejsce: Sala konferencyjna w biurze Spotkanie z: Jan Nowak - Prezes firmy ABC	confirm-domain()
user	Tak. Chciałbym je przesunąć na za tydzień	negate() & request(update_meeting) & inform(date='za tydzień')
system	Czas został zmieniony, czy to wszystkie edycje?	affirm(update_meeting)
user	Tak. Dziękuję za pomoc : )	bye()
